return_period,time,sign_acc
return_060d,2021-02-19,0.6954624781849913
return_060d,2021-02-20,0.6957279860505667
return_060d,2021-02-21,0.695993031358885
return_060d,2021-02-22,0.6962576153176675
return_060d,2021-02-23,0.6965217391304348
return_060d,2021-02-24,0.6967854039965248
return_060d,2021-02-25,0.6970486111111112
return_060d,2021-02-26,0.6973113616652211
return_060d,2021-02-27,0.6975736568457539
return_060d,2021-02-28,0.6978354978354978
return_060d,2021-03-01,0.6980968858131488
return_060d,2021-03-02,0.6983578219533275
return_060d,2021-03-03,0.6986183074265976
return_060d,2021-03-04,0.6988783433994823
return_060d,2021-03-05,0.6991379310344827
return_060d,2021-03-06,0.6993970714900948
return_060d,2021-03-07,0.6996557659208261
return_060d,2021-03-08,0.6999140154772141
return_060d,2021-03-09,0.7001718213058419
return_060d,2021-03-10,0.7004291845493562
return_060d,2021-03-11,0.7006861063464837
return_060d,2021-03-12,0.700942587832048
return_060d,2021-03-13,0.7011986301369864
return_060d,2021-03-14,0.7014542343883661
return_060d,2021-03-15,0.7017094017094017
return_060d,2021-03-16,0.7019641332194705
return_060d,2021-03-17,0.7022184300341296
return_060d,2021-03-18,0.7024722932651322
return_060d,2021-03-19,0.702725724020443
return_060d,2021-03-20,0.7029787234042553
return_060d,2021-03-21,0.7032312925170068
return_060d,2021-03-22,0.703483432455395
return_060d,2021-03-23,0.7037351443123939
return_060d,2021-03-24,0.7039864291772688
return_060d,2021-03-25,0.7042372881355933
return_060d,2021-03-26,0.7044877222692634
return_060d,2021-03-27,0.7047377326565144
return_060d,2021-03-28,0.7049873203719358
return_060d,2021-03-29,0.7052364864864865
return_060d,2021-03-30,0.7054852320675106
return_060d,2021-03-31,0.7057335581787522
return_060d,2021-04-01,0.7059814658803707
return_060d,2021-04-02,0.7062289562289562
return_060d,2021-04-03,0.7064760302775441
return_060d,2021-04-04,0.7067226890756303
return_060d,2021-04-05,0.7069689336691856
return_060d,2021-04-06,0.7072147651006712
return_060d,2021-04-07,0.7074601844090528
return_060d,2021-04-08,0.7077051926298158
return_060d,2021-04-09,0.7079497907949791
return_060d,2021-04-10,0.7081939799331104
return_060d,2021-04-11,0.70843776106934
return_060d,2021-04-12,0.7086811352253757
return_060d,2021-04-13,0.7089241034195163
return_060d,2021-04-14,0.7091666666666666
return_060d,2021-04-15,0.7094088259783514
return_060d,2021-04-16,0.7096505823627288
return_060d,2021-04-17,0.7098919368246052
return_060d,2021-04-18,0.7101328903654485
return_060d,2021-04-19,0.7103734439834025
return_060d,2021-04-20,0.7106135986733002
return_060d,2021-04-21,0.7100248550124275
return_060d,2021-04-22,0.7094370860927153
return_060d,2021-04-23,0.7088502894954508
return_060d,2021-04-24,0.7090909090909091
return_060d,2021-04-25,0.7093311312964492
return_060d,2021-04-26,0.7087458745874587
return_060d,2021-04-27,0.7089859851607585
return_060d,2021-04-28,0.7084019769357496
return_060d,2021-04-29,0.7086419753086419
return_060d,2021-04-30,0.7080592105263158
return_060d,2021-05-01,0.7082990961380444
return_060d,2021-05-02,0.7085385878489326
return_060d,2021-05-03,0.7087776866283839
return_060d,2021-05-04,0.7090163934426229
return_060d,2021-05-05,0.7092547092547092
return_060d,2021-05-06,0.70949263502455
return_060d,2021-05-07,0.7097301717089125
return_060d,2021-05-08,0.7099673202614379
return_060d,2021-05-09,0.710204081632653
return_060d,2021-05-10,0.7096247960848288
return_060d,2021-05-11,0.7090464547677262
return_060d,2021-05-12,0.7084690553745928
return_060d,2021-05-13,0.7078925956061839
return_060d,2021-05-14,0.7073170731707317
return_060d,2021-05-15,0.7075548334687246
return_060d,2021-05-16,0.7077922077922078
return_060d,2021-05-17,0.708029197080292
return_060d,2021-05-18,0.7082658022690438
return_060d,2021-05-19,0.708502024291498
return_060d,2021-05-20,0.7087378640776699
return_060d,2021-05-21,0.7089733225545675
return_060d,2021-05-22,0.7092084006462036
return_060d,2021-05-23,0.7094430992736077
return_060d,2021-05-24,0.7096774193548387
return_060d,2021-05-25,0.7099113618049959
return_060d,2021-05-26,0.7101449275362319
return_060d,2021-05-27,0.7103781174577635
return_060d,2021-05-28,0.7106109324758842
return_060d,2021-05-29,0.7108433734939759
return_060d,2021-05-30,0.7110754414125201
return_060d,2021-05-31,0.7113071371291099
return_060d,2021-06-01,0.7115384615384616
return_060d,2021-06-02,0.7117694155324259
return_060d,2021-06-03,0.712
return_060d,2021-06-04,0.7122302158273381
return_060d,2021-06-05,0.7124600638977636
return_060d,2021-06-06,0.7126895450917797
return_060d,2021-06-07,0.7129186602870813
return_060d,2021-06-08,0.7131474103585658
return_060d,2021-06-09,0.7133757961783439
return_060d,2021-06-10,0.7136038186157518
return_060d,2021-06-11,0.7138314785373608
return_060d,2021-06-12,0.7140587768069897
return_060d,2021-06-13,0.7142857142857143
return_060d,2021-06-14,0.7145122918318795
return_060d,2021-06-15,0.7147385103011094
return_060d,2021-06-16,0.7149643705463183
return_060d,2021-06-17,0.7151898734177216
return_060d,2021-06-18,0.7154150197628458
return_060d,2021-06-19,0.7156398104265402
return_060d,2021-06-20,0.7158642462509865
